Contract Address,Name (DO NOT CLICK LINKS!),Type
0x0d05a204e27e4815f1f5afdb9d82aa221aa0bdfa,GemSwap.net,Dusted Honeypot/Phishing
0x893c25c46bfaa9b66cd557837d32af3fe264a07b,PowNFT.net,Dusted Honeypot/Phishing
0x2ba6204c23fbd5698ed90abc911de263e5f41266,KK8.io,Dusted Honeypot/Phishing
0x556798dd55db12562a6950ea8339a273539b0495,Def8.io,Dusted Honeypot/Phishing
0x71122b3aadce1ef7bc5bb4a2a644af0b478af548,vsga.cc,Dusted Honeypot/Phishing
0x892c8ae31c809a2e9dea97e10d09457a685c8e15,h3x.exchange,Dusted Honeypot/Phishing
0xd22202d23fe7de9e3dbe11a2a88f42f4cb9507cf,Minereum BSC,Dusted Honeypot/Phishing
0x7dffbd480efba1dccea3a59b56f875f25d6bd8b7,Safemoon Dividend Tracker,Dusted Honeypot/Phishing
0x79e1feb3a8bde6c739f5712cba6240d70c9b5efd,SHIBA_DIVIDEND_TRACKER ,Dusted Honeypot/Phishing
0xc7ef1bff46cd025509cf5e55fa5cd5c14793cbff,VeloChain,Dusted Honeypot/Phishing
0x0df62d2cd80591798721ddc93001afe868c367ff,TheVera,Dusted Honeypot/Phishing
0xD5E3BF9045Cfb1e6dEd4b35D1B9C34be16D6EEc3,Linkpiio,Dusted Honeypot/Phishing
0x27B880865395DA6cdA9C407E5eDFCc32184CF429,Dex88,Dusted Honeypot/Phishing
0x442b656F5a5c3DD09790951810c5a15ea5295B51,Tu7,Dusted Honeypot/Phishing
0xD35f9AB96d04aDB02Fd549Ef6a576Ce4E2C1d935,1gas,Dusted Honeypot/Phishing
0xEf27B9Cb67aa93eC3494A60F1EA9380e86175B26,AGMC,Dusted Honeypot/Phishing
0x585De5430f47abA099bEbD21Ef133272C38dB7a6,Safemoon.is,Dusted Honeypot/Phishing
0x58c10c8E2B80FDb5613778125Ddd1C93f8Cc8983,Kryoss,Dusted Honeypot/Phishing
0x5E48C354a5Da2B0A8C203518d0fc7B9c58Cc9329,Swap7,Dusted Honeypot/Phishing
0xb3ec4E17c1C0079D977354875ab924c088325306,Xch5,Dusted Honeypot/Phishing
0x4827405D992d4D42f9fF4bB9D13eC9b616A75278,Xch52,Dusted Honeypot/Phishing
0xA2C5D7969A3cc6F78f538ffc4b4F895B09F8497d,Fake Hakuna Matata,Dusted Honeypot/Phishing
0x373233A38ae21cF0C4f9DE11570E7D5Aa6824A1E,Alpacafin ,Dusted Honeypot/Phishing
0x0198be93B7cae38Da7E2FD966946412CC36447BF,Mello,Dusted Honeypot/Phishing
0x7eFa745A05e5EdDe8a22ec2A4D887393bc340aF1,Agte ,Dusted Honeypot/Phishing
0x108f5f2b2d68f4075d5753caF41dA293DD4bC2B5,BAL,Dusted Honeypot/Phishing
0x31b16ae04BAB2f4b061b9D85bCeE7995cF0607e7,HRNDoge,Dusted Honeypot/Phishing
0xb4a51d6436444965F43DD0c55317454c592221a8,Mariah,Dusted Honeypot/Phishing
0x16C377663E6550dbCe6cdb8366c414c80F1FB93E,ROO,Dusted Honeypot/Phishing
0x3642A6ceAa64f52fa18ac8cF8476E50dB4581B75,420ANON,Dusted Honeypot/Phishing
0x7d9C3bd1eB0B0A8921faB9c57E26E05518d87b4d,Aae ,Dusted Honeypot/Phishing
0xA2295477a3433F1D06ba349cdE9f89a8b24e7f8D,Aax ,Dusted Honeypot/Phishing
0xD1577805644Caa8917a7545bC792f5f9eE16ea39,Aax2,Dusted Honeypot/Phishing
0xb926BEB62d7A680406E06327c87307C1FFC4aB09,Alpacadrop,Dusted Honeypot/Phishing
0x1590D90622a2aA6Adce2aBA33b4F5B667D6D4e30,Apenft,Dusted Honeypot/Phishing
0xC3E944C6986a65831D3EC560e0fED2cbC528f41c,Eloncat,Dusted Honeypot/Phishing
0x238CC5438da55F1679E8509bddFaF267f2fAAF30,Biju ,Dusted Honeypot/Phishing
0x9aD85bB3b83b3Bc97e1FAF3c39a3a2916D771C05,Cwc ,Dusted Honeypot/Phishing
0xdeb1EAF085979A73aB0E85901D786cBa991c2617,Lucky fortune dog,Dusted Honeypot/Phishing
0x30a2f5b205420438eB4C9365f845025D1d75417E,Xxai ,Dusted Honeypot/Phishing
0x74b5656CDfc26BadB6B76d820565707347911071,Winb ,Dusted Honeypot/Phishing
0xDd71a543245a2Ff8bdA8cF02b4f9aD2D2F196792,TreZor finance,Dusted Honeypot/Phishing
0x4D8883ee27d521Ae2f7FeA5104A9f85b86BCcdD4,Tomochain,Dusted Honeypot/Phishing
0x881Da7613414A9E6E6EA6ce12c58F3f8a0Eea119,Safemoon v2,Dusted Honeypot/Phishing
0xdDDf82Fb98530243FCF8d4b8DC452f918C3aC4AC,Shiba dividend 2,Dusted Honeypot/Phishing
0xA2d35Acd03CecDfdB4aF7089084a8A60144471AB,Salted fish,Dusted Honeypot/Phishing
0x1e8f7bfdCf6d95eea81E039234624fA6b78bd389,Payou ,Dusted Honeypot/Phishing
0xddF1D0f361aE9444020FCFa905acb4Faff420BDd,Payou2,Dusted Honeypot/Phishing
0x639e7972244bbdf70f4ad1aad970b26e45c6d3de,Pornhub token,Dusted Honeypot/Phishing
0x31D9BB2d2e971f0F2832B32f942828E1F5d82Bf9,Mini Basketball,Dusted Honeypot/Phishing
0x59a82e36c401f4f6f29fe83833d778af38a398a1,MGAS,Honeypot
0x5b1389db2573a3db7fe263b098a1b614f34eb9b6,ShibaMusk,Honeypot
